reason,tmdb_id,slug,score,movie_title,year_released,tmdb_title,tmdb_year,release_date,popularity,existing_slug
collision_existing,114570,the-hunters-1977,1.2502,The Hunters,1977,The Hunters,1977,1977-10-19,0.4908,the-hunters-asivaqtiin
no_match,,im-so-depressed,,I'm So Depressed,2019,,,,,
no_match,,lachlan-patterson-live-at-venice-beach,,Lachlan Patterson: Live at Venice Beach,2016,,,,,
no_match,,una-golfa,,Una golfa,1958,,,,,
collision_existing,8963,grim,0.6272,Grim,1995,Crimson Tide,1995,1995-05-12,4.3841,crimson-tide
no_match,,it-knows,,It Knows,,,,,,
no_match,,ghostbusters-collection,,Ghostbusters Collection,,,,,,
no_match,,forest-of-oppression-a-record-of-the-struggle-at-takasaki-city-university-of-economics,,Forest of Oppression — A Record of the Struggle at Takasaki City University of Economics,1967,,,,,
no_match,,film-4,,Film 4,1927,,,,,
no_match,,abhijan,,Abhijan,1962,,,,,
no_match,,the-santa-clause-collection,,The Santa Clause Collection,,,,,,
no_match,,panama-canal-gateway-to-the-american-century,,Panama Canal: Gateway to the American Century,2011,,,,,
no_match,,ranma-ova-9-cho-musabetsu-kessen-ranma-team-vs-densetsu-no-houo,,Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix,1994,,,,,
no_match,,stand-outs,,Stand-Outs,2015,,,,,
no_match,,infinite-ryvius,,Infinite Ryvius,1999,,,,,
no_match,,the-cast-of-twin-peaks,,The Cast of Twin Peaks,2017,,,,,
no_match,,who-killed-aliyah,,Who Killed Aliyah?,2012,,,,,
no_match,,dio-live-in-tokyo-japan-super-rock-festival-1985,,Dio - Live In Tokyo Japan Super Rock Festival 1985,,,,,,
no_match,,concepts-of-duality,,Concepts of Duality,2015,,,,,
no_match,,temporarily-stop-sex,,Temporarily Stop Sex,1987,,,,,
no_match,,k-on-live-house,,K-On!: Live House!,2010,,,,,
no_match,,zato-ichi-blind-swordsman-tribute,,Zato Ichi: Blind Swordsman Tribute,2009,,,,,
no_match,,the-winters-tale-live-from-shakespeares-globe,,The Winter's Tale: Live from Shakespeare's Globe,2018,,,,,
no_match,,the-diamond-hunters,,The Diamond Hunters,2001,,,,,
no_match,,o-filos-mou-o-lefterakis,,O filos mou o Lefterakis,1963,,,,,
no_match,,dicked-down-in-debt,,Dicked Down in Debt,2018,,,,,
no_match,,london-spy,,London Spy,2015,,,,,
no_match,,david-lynch-cooks-quinoa,,David Lynch Cooks Quinoa,2007,,,,,
no_match,,xiii,,XIII,2008,,,,,
no_match,,ekis-walang-tatakas,,Ekis:  Walang Tatakas,1999,,,,,
no_match,,wet-woman-in-the-wind,,Wet Woman in the Wind,2016,,,,,
no_match,,wild-cardz,,Wild Cardz,1997,,,,,
no_match,,weta-workshop,,Weta Workshop,2002,,,,,
no_match,,sexo-livre,,Sexo Livre,1985,,,,,
no_match,,the-girl-in-room-20,,The Girl in Room 20,1946,,,,,
no_match,,the-sun-is-a-dying-god-or-how-the-universe-dreamed-of-a-fading-moon,,"The Sun Is A Dying God, or How the Universe Dreamed of a Fading Moon",2019,,,,,
no_match,,angels-in-the-court,,Angels in the Court,2000,,,,,
no_match,,prime-suspect-6-the-last-witness,,Prime Suspect 6: The Last Witness,2004,,,,,
no_match,,loco-melones,,Loco Melones,2003,,,,,
no_match,,nkotbsb-live-at-the-o2-arena,,NKOTBSB: Live at the O2 Arena,2012,,,,,
